threshold,label,survives,candidate_count
0.3,same,False,10021
0.3,different,True,11314
0.3,same,True,8126
0.3,different,True,8945
0.3,different,True,9769
0.3,different,True,8311
0.3,different,True,10203
0.3,different,True,10493
0.3,same,True,11345
0.3,same,True,10816
0.3,same,True,10585
0.3,different,True,7188
0.3,different,True,10962
0.3,different,True,7825
0.3,different,True,11135
0.3,same,True,11836
0.3,different,False,9096
0.3,same,True,10937
0.3,different,True,9999
0.3,different,False,11160
0.3,different,True,10124
0.3,same,True,10979
0.3,different,True,11879
0.3,different,True,8238
0.3,same,True,10548
0.3,different,True,10485
0.3,different,True,10709
0.3,different,True,10770
0.3,different,True,11294
0.3,different,True,11374
0.3,different,True,11948
0.3,different,False,10061
0.3,different,True,6729
0.3,different,True,11454
0.3,different,True,10194
0.3,same,True,11917
0.3,different,True,11319
0.3,same,True,11877
0.3,different,True,9972
0.3,different,False,10397
0.3,same,True,11070
0.3,different,True,11945
0.3,different,True,6106
0.3,same,True,8016
0.3,different,True,10806
0.3,same,False,10511
0.3,different,True,11151
0.3,different,True,11349
0.3,different,True,11611
0.3,same,True,11867
0.3,same,True,9788
0.3,different,True,11898
0.3,different,True,7441
0.3,different,True,8929
0.3,different,True,9355
0.3,same,True,11592
0.3,same,True,11084
0.3,same,True,11957
0.3,different,True,9966
0.3,different,True,8679
0.3,same,True,9217
0.3,different,True,10054
0.3,different,False,10487
0.3,different,True,11942
0.3,different,True,11214
0.3,different,True,7914
0.3,same,True,10551
0.3,different,True,11258
0.3,different,True,9594
0.3,same,True,11113
0.3,different,True,11507
0.3,same,True,10821
0.3,different,True,10662
0.3,different,True,11521
0.3,different,True,9976
0.3,different,True,9063
0.3,different,False,7304
0.3,different,True,8495
0.3,different,True,10050
0.3,same,True,10329
0.3,different,True,10517
0.3,same,True,10530
0.3,different,True,8606
0.3,same,True,10776
0.3,different,True,9709
0.3,same,True,11343
0.3,different,True,11951
0.3,different,True,8552
0.3,same,True,10218
0.3,different,True,10307
0.3,same,True,11382
0.3,same,True,10226
0.3,same,True,10389
0.3,different,True,11285
0.3,different,True,11374
0.3,different,True,7276
0.3,different,True,9193
0.3,different,True,11217
0.3,different,True,10424
0.3,different,True,11887
0.3,different,True,9315
0.3,different,True,9656
0.3,different,False,10789
0.3,different,False,8795
0.3,different,True,11297
0.3,different,True,9287
0.3,same,True,11555
0.3,different,True,9535
0.3,same,True,11124
